Image Usage Audit
discount-available.png: Home=2, Others=2
emergency-badge.png: Home=0, Others=0
emergency-service.png: Home=2, Others=0
facebook.png: Home=2, Others=0
finance-service.png: Home=2, Others=2
free-estimate.png: Home=2, Others=2
free-service-call.png: Home=2, Others=2
green-icon-call.png: Home=1, Others=0
hero-image.png: Home=0, Others=0
instagram.png: Home=2, Others=0
insurance-aaa.png: Home=0, Others=0
insurance-allied.png: Home=0, Others=0
insurance-allstate.png: Home=0, Others=0
insurance-chubb.png: Home=0, Others=0
insurance-farmers.png: Home=0, Others=0
insurance-fireman-fund.png: Home=0, Others=0
insurance-liberty-mutual.png: Home=0, Others=0
insurance-mercury.png: Home=0, Others=0
insurance-pacific-specialty.png: Home=0, Others=0
insurance-safeco.png: Home=0, Others=0
insurance-state-farm.png: Home=0, Others=0
insurance-tower-group.png: Home=0, Others=0
insurance-travelers.png: Home=0, Others=0
less.png: Home=0, Others=0
linkedin.svg: Home=2, Others=0
mca-protected.png: Home=2, Others=0
pluse.png: Home=0, Others=0
rating-footer.png: Home=2, Others=0
service-commercial.png: Home=0, Others=0
service-drain-cleaning.png: Home=0, Others=0
service-emergency.png: Home=0, Others=0
service-residential.png: Home=0, Others=0
service-slab-leak.jpg: Home=0, Others=0
star.jpg: Home=21, Others=20
